G,element_length,p,f_int[0]
146113.13842922726,1,35.0,6.999999999999989e+02
146113.13842922726,2,35.0,4.7475468957064237e+02
146113.13842922726,3,35.0,2.4240259795473702e+02
146113.13842922726,1,52.5,1.4000000000000005e+03
146113.13842922726,2,52.5,9.495093791412856e+02
146113.13842922726,3,52.5,4.8480519590947654e+02
146113.13842922726,1,70,2.1000000000000014e+03
146113.13842922726,2,70,1.424264068711929e+03
146113.13842922726,3,70,7.27207793864213e+02
146113.13842922726,1,70,2.7999999999999973e+03
146113.13842922726,2,70,1.8990187582825686e+03
146113.13842922726,3,70,9.696103918189476e+02
146113.13842922726,1,70,2.8000000000000005e+03
146113.13842922726,2,70,1.8990187582825727e+03
146113.13842922726,3,70,9.696103918189582e+02
146113.13842922726,1,70,2.800000000000002e+03
146113.13842922726,2,70,1.899018758282569e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.8000000000000005e+03
146113.13842922726,2,70,1.8990187582825727e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.800000000000002e+03
146113.13842922726,2,70,1.899018758282569e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.8000000000000005e+03
146113.13842922726,2,70,1.8990187582825727e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.800000000000002e+03
146113.13842922726,2,70,1.899018758282569e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.8000000000000005e+03
146113.13842922726,2,70,1.8990187582825727e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.800000000000002e+03
146113.13842922726,2,70,1.899018758282569e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.8000000000000005e+03
146113.13842922726,2,70,1.8990187582825727e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.800000000000002e+03
146113.13842922726,2,70,1.899018758282569e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.8000000000000005e+03
146113.13842922726,2,70,1.8990187582825727e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.800000000000002e+03
146113.13842922726,2,70,1.899018758282569e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.8000000000000005e+03
146113.13842922726,2,70,1.8990187582825727e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.800000000000002e+03
146113.13842922726,2,70,1.899018758282569e+03
146113.13842922726,3,70,9.696103918189526e+02
146113.13842922726,1,70,2.8000000000000005e+03
146113.13842922726,2,70,1.8990187582825727e+03
146113.13842922726,3,70,9.696103918189526e+02
23970.37808874738,1,35.0,6.999999999999922e+02
23970.37808874738,2,35.0,4.747546895706367e+02
23970.37808874738,3,35.0,2.424025979547395e+02
23970.37808874738,1,52.5,1.3999999999999973e+03
23970.37808874738,2,52.5,9.495093791412746e+02
23970.37808874738,3,52.5,4.848051959094748e+02
23970.37808874738,1,70,2.0999999999999895e+03
23970.37808874738,2,70,1.424264068711917e+03
23970.37808874738,3,70,7.272077938642234e+02
23970.37808874738,1,70,2.7999999999999914e+03
23970.37808874738,2,70,1.8990187582825786e+03
23970.37808874738,3,70,9.696103918189538e+02
23970.37808874738,1,70,2.800000000000002e+03
23970.37808874738,2,70,1.8990187582825831e+03
23970.37808874738,3,70,9.69610391818948e+02
23970.37808874738,1,70,2.7999999999999977e+03
23970.37808874738,2,70,1.8990187582825515e+03
23970.37808874738,3,70,9.696103918189407e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818969e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
23970.37808874738,1,70,2.7999999999999973e+03
23970.37808874738,2,70,1.899018758282577e+03
23970.37808874738,3,70,9.69610391818946e+02
91345.73533948827,1,35.0,7.000000000000497e+02
91345.73533948827,2,35.0,4.747546895707073e+02
91345.73533948827,3,35.0,2.4240259795474682e+02
91345.73533948827,1,52.5,1.4000000000000305e+03
91345.73533948827,2,52.5,9.495093791413257e+02
91345.73533948827,3,52.5,4.848051959094472e+02
91345.73533948827,1,70,2.1000000000000528e+03
91345.73533948827,2,70,1.424264068711957e+03
91345.73533948827,3,70,7.272077938642514e+02
91345.73533948827,1,70,2.800000000000148e+03
91345.73533948827,2,70,1.8990187582825595e+03
91345.73533948827,3,70,9.696103918189768e+02
91345.73533948827,1,70,2.7999999999999413e+03
91345.73533948827,2,70,1.8990187582826331e+03
91345.73533948827,3,70,9.696103918189307e+02
91345.73533948827,1,70,2.8000000000000887e+03
91345.73533948827,2,70,1.8990187582825438e+03
91345.73533948827,3,70,9.696103918189285e+02
91345.73533948827,1,70,2.799999999999962e+03
91345.73533948827,2,70,1.8990187582825117e+03
91345.73533948827,3,70,9.69610391818987e+02
91345.73533948827,1,70,2.800000000000162e+03
91345.73533948827,2,70,1.8990187582825438e+03
91345.73533948827,3,70,9.696103918189307e+02
91345.73533948827,1,70,2.7999999999999413e+03
91345.73533948827,2,70,1.89901875828252e+03
91345.73533948827,3,70,9.696103918189145e+02
91345.73533948827,1,70,2.8000000000000887e+03
91345.73533948827,2,70,1.8990187582825774e+03
91345.73533948827,3,70,9.696103918189285e+02
91345.73533948827,1,70,2.79999999999998e+03
91345.73533948827,2,70,1.899018758282609e+03
91345.73533948827,3,70,9.696103918190172e+02
91345.73533948827,1,70,2.799999999999925e+03
91345.73533948827,2,70,1.8990187582825438e+03
91345.73533948827,3,70,9.696103918189567e+02
91345.73533948827,1,70,2.799999999999925e+03
91345.73533948827,2,70,1.8990187582826234e+03
91345.73533948827,3,70,9.69610391818987e+02
91345.73533948827,1,70,2.7999999999999577e+03
91345.73533948827,2,70,1.899018758282531e+03
91345.73533948827,3,70,9.696103918189285e+02
91345.73533948827,1,70,2.800000000000071e+03
91345.73533948827,2,70,1.8990187582826234e+03
91345.73533948827,3,70,9.696103918188884e+02
91345.73533948827,1,70,2.799999999999889e+03
91345.73533948827,2,70,1.8990187582826e+03
91345.73533948827,3,70,9.696103918189989e+02
91345.73533948827,1,70,2.799999999999978e+03
91345.73533948827,2,70,1.8990187582825438e+03
91345.73533948827,3,70,9.696103918189326e+02
91345.73533948827,1,70,2.800000000000162e+03
91345.73533948827,2,70,1.8990187582825438e+03
91345.73533948827,3,70,9.69610391818987e+02
91345.73533948827,1,70,2.799999999999832e+03
91345.73533948827,2,70,1.8990187582825774e+03
91345.73533948827,3,70,9.696103918189588e+02
65426.47047851901,1,35.0,7.000000000000009e+02
65426.47047851901,2,35.0,4.747546895706441e+02
65426.47047851901,3,35.0,2.424025979547394e+02
65426.47047851901,1,52.5,1.4000000000000014e+03
65426.47047851901,2,52.5,9.495093791412869e+02
65426.47047851901,3,52.5,4.848051959094784e+02
65426.47047851901,1,70,2.0999999999999964e+03
65426.47047851901,2,70,1.424264068711931e+03
65426.47047851901,3,70,7.272077938642119e+02
65426.47047851901,1,70,2.800000000000005e+03
65426.47047851901,2,70,1.8990187582825702e+03
65426.47047851901,3,70,9.696103918189546e+02
65426.47047851901,1,70,2.8000000000000027e+03
65426.47047851901,2,70,1.8990187582825658e+03
65426.47047851901,3,70,9.696103918189522e+02
65426.47047851901,1,70,2.7999999999999973e+03
65426.47047851901,2,70,1.8990187582825738e+03
65426.47047851901,3,70,9.696103918189557e+02
65426.47047851901,1,70,2.799999999999998e+03
65426.47047851901,2,70,1.8990187582825715e+03
65426.47047851901,3,70,9.696103918189522e+02
65426.47047851901,1,70,2.800000000000002e+03
65426.47047851901,2,70,1.8990187582825683e+03
65426.47047851901,3,70,9.696103918189519e+02
65426.47047851901,1,70,2.7999999999999977e+03
65426.47047851901,2,70,1.8990187582825733e+03
65426.47047851901,3,70,9.696103918189518e+02
65426.47047851901,1,70,2.800000000000002e+03
65426.47047851901,2,70,1.8990187582825683e+03
65426.47047851901,3,70,9.696103918189557e+02
65426.47047851901,1,70,2.800000000000002e+03
65426.47047851901,2,70,1.8990187582825733e+03
65426.47047851901,3,70,9.696103918189518e+02
65426.47047851901,1,70,2.7999999999999977e+03
65426.47047851901,2,70,1.8990187582825733e+03
65426.47047851901,3,70,9.696103918189518e+02
65426.47047851901,1,70,2.800000000000002e+03
65426.47047851901,2,70,1.8990187582825683e+03
65426.47047851901,3,70,9.696103918189557e+02
65426.47047851901,1,70,2.800000000000002e+03
65426.47047851901,2,70,1.8990187582825733e+03
65426.47047851901,3,70,9.696103918189518e+02
65426.47047851901,1,70,2.7999999999999977e+03
65426.47047851901,2,70,1.8990187582825733e+03
65426.47047851901,3,70,9.696103918189518e+02
65426.47047851901,1,70,2.800000000000002e+03
65426.47047851901,2,70,1.8990187582825683e+03
65426.47047851901,3,70,9.696103918189557e+02
65426.47047851901,1,70,2.800000000000002e+03
65426.47047851901,2,70,1.8990187582825733e+03
65426.47047851901,3,70,9.696103918189518e+02
65426.47047851901,1,70,2.7999999999999977e+03
65426.47047851901,2,70,1.8990187582825733e+03
65426.47047851901,3,70,9.696103918189518e+02
65426.47047851901,1,70,2.800000000000002e+03
65426.47047851901,2,70,1.8990187582825683e+03
65426.47047851901,3,70,9.696103918189557e+02
132542.08249344552,1,35.0,7.000000000000001e+02
132542.08249344552,2,35.0,4.747546895706418e+02
132542.08249344552,3,35.0,2.4240259795473833e+02
132542.08249344552,1,52.5,1.399999999999999e+03
132542.08249344552,2,52.5,9.495093791412845e+02
132542.08249344552,3,52.5,4.848051959094806e+02
132542.08249344552,1,70,2.100000000000003e+03
132542.08249344552,2,70,1.4242640687119272e+03
132542.08249344552,3,70,7.272077938642092e+02
132542.08249344552,1,70,2.800000000000002e+03
132542.08249344552,2,70,1.8990187582825622e+03
132542.08249344552,3,70,9.696103918189553e+02
132542.08249344552,1,70,2.8000000000000055e+03
132542.08249344552,2,70,1.899018758282575e+03
132542.08249344552,3,70,9.696103918189541e+02
132542.08249344552,1,70,2.7999999999999986e+03
132542.08249344552,2,70,1.899018758282575e+03
132542.08249344552,3,70,9.696103918189541e+02
132542.08249344552,1,70,2.799999999999991e+03
132542.08249344552,2,70,1.8990187582825756e+03
132542.08249344552,3,70,9.696103918189486e+02
