G,element_length,p,f_int[0]
103997.10857109893,1,35.0,7.000000000000025e+02
103997.10857109893,2,35.0,4.7475468957064487e+02
103997.10857109893,3,35.0,2.424025979547397e+02
103997.10857109893,1,52.5,1.399999999999999e+03
103997.10857109893,2,52.5,9.495093791412896e+02
103997.10857109893,3,52.5,4.848051959094755e+02
103997.10857109893,1,70,2.100000000000013e+03
103997.10857109893,2,70,1.4242640687119313e+03
103997.10857109893,3,70,7.272077938642194e+02
103997.10857109893,1,70,2.7999999999999977e+03
103997.10857109893,2,70,1.8990187582825617e+03
103997.10857109893,3,70,9.69610391818949e+02
103997.10857109893,1,70,2.799999999999995e+03
103997.10857109893,2,70,1.899018758282577e+03
103997.10857109893,3,70,9.69610391818955e+02
103997.10857109893,1,70,2.800000000000002e+03
103997.10857109893,2,70,1.8990187582825786e+03
103997.10857109893,3,70,9.69610391818955e+02
103997.10857109893,1,70,2.800000000000002e+03
103997.10857109893,2,70,1.8990187582825786e+03
103997.10857109893,3,70,9.69610391818954e+02
103997.10857109893,1,70,2.799999999999995e+03
103997.10857109893,2,70,1.8990187582825574e+03
103997.10857109893,3,70,9.696103918189461e+02
103997.10857109893,1,70,2.800000000000011e+03
103997.10857109893,2,70,1.8990187582825786e+03
103997.10857109893,3,70,9.696103918189558e+02
103997.10857109893,1,70,2.7999999999999945e+03
103997.10857109893,2,70,1.8990187582825668e+03
103997.10857109893,3,70,9.696103918189486e+02
103997.10857109893,1,70,2.799999999999983e+03
103997.10857109893,2,70,1.8990187582825758e+03
103997.10857109893,3,70,9.696103918189461e+02
103997.10857109893,1,70,2.7999999999999995e+03
103997.10857109893,2,70,1.899018758282577e+03
103997.10857109893,3,70,9.69610391818954e+02
103997.10857109893,1,70,2.8000000000000064e+03
103997.10857109893,2,70,1.8990187582825668e+03
103997.10857109893,3,70,9.696103918189486e+02
103997.10857109893,1,70,2.8000000000000064e+03
103997.10857109893,2,70,1.8990187582825658e+03
103997.10857109893,3,70,9.696103918189522e+02
103997.10857109893,1,70,2.7999999999999973e+03
103997.10857109893,2,70,1.8990187582825758e+03
103997.10857109893,3,70,9.696103918189522e+02
103997.10857109893,1,70,2.7999999999999995e+03
103997.10857109893,2,70,1.899018758282577e+03
103997.10857109893,3,70,9.69610391818954e+02
103997.10857109893,1,70,2.8000000000000064e+03
103997.10857109893,2,70,1.8990187582825668e+03
103997.10857109893,3,70,9.696103918189486e+02
103997.10857109893,1,70,2.8000000000000064e+03
103997.10857109893,2,70,1.8990187582825658e+03
103997.10857109893,3,70,9.696103918189522e+02
103997.10857109893,1,70,2.7999999999999973e+03
103997.10857109893,2,70,1.8990187582825758e+03
103997.10857109893,3,70,9.696103918189522e+02
77714.13651372786,1,35.0,6.999999999999992e+02
77714.13651372786,2,35.0,4.7475468957064135e+02
77714.13651372786,3,35.0,2.424025979547371e+02
77714.13651372786,1,52.5,1.3999999999999973e+03
77714.13651372786,2,52.5,9.495093791412872e+02
77714.13651372786,3,52.5,4.8480519590947415e+02
77714.13651372786,1,70,2.1e+03
77714.13651372786,2,70,1.4242640687119263e+03
77714.13651372786,3,70,7.272077938642141e+02
77714.13651372786,1,70,2.800000000000002e+03
77714.13651372786,2,70,1.8990187582825708e+03
77714.13651372786,3,70,9.69610391818951e+02
77714.13651372786,1,70,2.799999999999997e+03
77714.13651372786,2,70,1.8990187582825697e+03
77714.13651372786,3,70,9.696103918189553e+02
77714.13651372786,1,70,2.8000000000000014e+03
77714.13651372786,2,70,1.8990187582825702e+03
77714.13651372786,3,70,9.696103918189518e+02
77714.13651372786,1,70,2.799999999999997e+03
77714.13651372786,2,70,1.8990187582825727e+03
77714.13651372786,3,70,9.69610391818952e+02
77714.13651372786,1,70,2.8000000000000005e+03
77714.13651372786,2,70,1.8990187582825697e+03
77714.13651372786,3,70,9.696103918189553e+02
