eps11,eps22,epspk11,epspk22,Alpha_k11,Alpha_k22,alpha_k,epspk_out11,epspk_out22,Alpha_k_out11,Alpha_k_out22,alpha_k_out,sigma_out11,sigma_out22,C_out11,C_out12,C_out22,C_out23,C_out44
0.004,-0.001799295154185022,0.0026678379388046084,-0.0013339189694023042,0.0026678379388046084,-0.001333918969402304,0.0026678379388046084,0.0028193832599118945,-0.0014096916299559472,0.0028193832599118945,-0.001409691629955947,0.0028193832599118945,247.92951541850218,1.4210854715202004e-14,212931.9071605421,202357.5758314937,274969.6564847179,140319.82650731783,67324.91498870004
0.0045000000000000005,-0.0017992951541850222,0.0028193832599118945,-0.0014096916299559472,0.0028193832599118945,-0.001409691629955947,0.0028193832599118945,0.0031303930048839036,-0.0015651965024419518,0.0031303930048839036,-0.0015651965024419516,0.0031303930048839036,354.39546899877325,101.17878791574691,212931.90716054203,202357.5758314937,266157.9479850522,149131.53500698358,58513.20648903429
0.0045000000000000005,-0.0020429295154185023,0.0031303930048839036,-0.0015651965024419518,0.0031303930048839036,-0.0015651965024419516,0.0031303930048839036,0.003281938325991189,-0.0016409691629955948,0.003281938325991189,-0.0016409691629955944,0.003281938325991189,255.7929515418503,5.684341886080802e-14,212931.90716054203,202357.5758314937,275013.59093140415,140275.8920606316,67368.84943538628
0.005000000000000001,-0.0020429295154185023,0.003281938325991189,-0.0016409691629955948,0.003281938325991189,-0.0016409691629955944,0.003281938325991189,0.003592948070963199,-0.0017964740354815996,0.003592948070963199,-0.0017964740354815992,0.003592948070963199,362.2589051221214,101.17878791574701,212931.907160542,202357.5758314937,266224.15851290943,149065.3244791263,58579.41701689156
0.005000000000000001,-0.002286563876651983,0.003592948070963199,-0.0017964740354815996,0.003592948070963199,-0.0017964740354815992,0.003592948070963199,0.0037444933920704857,-0.0018722466960352428,0.0037444933920704857,-0.0018722466960352424,0.0037444933920704857,263.6563876651982,-2.842170943040401e-14,212931.90716054203,202357.5758314937,275057.1944726506,140232.28851938513,67412.45297663273
0.005500000000000001,-0.002286563876651983,0.0037444933920704857,-0.0018722466960352428,0.0037444933920704857,-0.0018722466960352424,0.0037444933920704857,0.004055503137042495,-0.0020277515685212474,0.004055503137042495,-0.002027751568521247,0.004055503137042495,370.12234124546933,101.17878791574694,212931.907160542,202357.5758314937,266289.9413574154,148999.54163462034,58645.19986139751
0.005500000000000001,-0.002530198237885463,0.004055503137042495,-0.0020277515685212474,0.004055503137042495,-0.002027751568521247,0.004055503137042495,0.004207048458149781,-0.0021035242290748904,0.004207048458149781,-0.00210352422907489,0.004207048458149781,271.5198237885464,8.526512829121202e-14,212931.90716054203,202357.5758314937,275100.4708329016,140189.01215913414,67455.72933688371
0.006000000000000002,-0.002530198237885463,0.004207048458149781,-0.0021035242290748904,0.004207048458149781,-0.00210352422907489,0.004207048458149781,0.0045180582031217895,-0.0022590291015608947,0.0045180582031217895,-0.0022590291015608943,0.0045180582031217895,377.9857773688175,101.17878791574702,212931.907160542,202357.5758314937,266355.3006491258,148934.1823429099,58710.55915310797
0.006000000000000002,-0.0027738325991189436,0.0045180582031217895,-0.0022590291015608947,0.0045180582031217895,-0.0022590291015608943,0.0045180582031217895,0.004669603524229076,-0.002334801762114538,0.004669603524229076,-0.0023348017621145378,0.004669603524229076,279.38325991189436,-1.4210854715202004e-14,212931.90716054203,202357.5758314937,275143.4236809171,140146.05931111865,67498.68218489923
0.006500000000000002,-0.0027738325991189436,0.004669603524229076,-0.002334801762114538,0.004669603524229076,-0.0023348017621145378,0.004669603524229076,0.004980613269201086,-0.002490306634600543,0.004980613269201086,-0.0024903066346005425,0.004980613269201086,385.8492134921654,101.17878791574695,212931.90716054203,202357.5758314937,266420.240465577,148869.24252645872,58775.498969559136
0.006500000000000002,-0.0030174669603524242,0.004980613269201086,-0.002490306634600543,0.004980613269201086,-0.0024903066346005425,0.004980613269201086,0.005132158590308372,-0.002566079295154186,0.005132158590308372,-0.0025660792951541856,0.005132158590308372,287.2466960352423,-5.684341886080802e-14,212931.90716054203,202357.5758314937,275186.05663080997,140103.42636122578,67541.3151347921
0.007000000000000003,-0.0030174669603524242,0.005132158590308372,-0.002566079295154186,0.005132158590308372,-0.0025660792951541856,0.005132158590308372,0.0054431683352803815,-0.0027215841676401908,0.0054431683352803815,-0.0027215841676401903,0.0054431683352803815,393.7126496155133,101.17878791574685,212931.90716054203,202357.5758314937,266484.7648321334,148804.71815990232,58840.023336115555
0.007000000000000003,-0.0032611013215859044,0.0054431683352803815,-0.0027215841676401908,0.0054431683352803815,-0.0027215841676401903,0.0054431683352803815,0.005594713656387668,-0.002797356828193834,0.005594713656387668,-0.0027973568281938334,0.005594713656387668,295.1101321585904,2.842170943040401e-14,212931.90716054203,202357.5758314937,275228.3732430592,140061.1097489765,67583.63174704135
0.007500000000000003,-0.0032611013215859044,0.005594713656387668,-0.002797356828193834,0.005594713656387668,-0.0027973568281938334,0.005594713656387668,0.005905723401359677,-0.0029528617006798386,0.005905723401359677,-0.002952861700679838,0.005905723401359677,401.5760857388615,101.17878791574697,212931.90716054203,202357.5758314937,266548.87772281945,148740.60526921626,58904.1362268016
0.007500000000000003,-0.003504735682819385,0.005905723401359677,-0.0029528617006798386,0.005905723401359677,-0.002952861700679838,0.005905723401359677,0.006057268722466963,-0.0030286343612334816,0.006057268722466963,-0.003028634361233481,0.006057268722466963,302.97356828193847,2.842170943040401e-14,212931.90716054203,202357.5758314937,275270.37702550157,140019.10596653417,67625.63552948367
